Country Name,Country Code,Indicator Name,2019,2020,2021,2022
Libya,LBY,GDP per capita (current US$),9963.194891,6650.338106,4935.827873,5986.636949
St. Lucia,LCA,GDP per capita (current US$),11794.05972,8411.074749,10459.13212,13103.82431
Latin America & Caribbean,LCN,GDP per capita (current US$),8830.227822,7445.296453,8597.53194,9716.032667
Least developed countries: UN classification,LDC,GDP per capita (current US$),1104.186332,1088.704909,1161.529355,1273.789792
Low income,LIC,GDP per capita (current US$),654.9409479,607.9647537,643.369305,723.5046389
Liechtenstein,LIE,GDP per capita (current US$),166907.8393,164671.0936,201944.8303,186821.8818
Sri Lanka,LKA,GDP per capita (current US$),4081.947727,3847.601377,3996.9624,3342.636503
Lower middle income,LMC,GDP per capita (current US$),2153.954271,2058.4346,2302.447369,2424.150547
Low & middle income,LMY,GDP per capita (current US$),4904.422916,4698.51753,5485.924721,5702.283442
Lesotho,LSO,GDP per capita (current US$),1082.057068,918.5825774,1066.586436,1030.125796
Late-demographic dividend,LTE,GDP per capita (current US$),10112.20129,9869.5402,11755.42454,12280.10754
Lithuania,LTU,GDP per capita (current US$),19608.79439,20428.64782,23870.45949,25085.78406
Luxembourg,LUX,GDP per capita (current US$),112696.6491,116860.0282,134965.8154,123719.6589
Latvia,LVA,GDP per capita (current US$),17294.97516,17564.23215,20261.88878,20227.23074
"Macao SAR, China",MAC,GDP per capita (current US$),81967.69917,36976.25611,45376.31459,36909.95641
St. Martin (French part),MAF,GDP per capita (current US$),19033.05949,,21668.37409,
Morocco,MAR,GDP per capita (current US$),3508.097656,3268.030273,3785.936279,3455.39624
Monaco,MCO,GDP per capita (current US$),193746.7856,176891.8865,223823.364,226052.0019
Moldova,MDA,GDP per capita (current US$),4405.334182,4375.778893,5274.605822,5744.296184
Madagascar,MDG,GDP per capita (current US$),499.8188376,450.7716152,483.4694634,503.5145335
Maldives,MDV,GDP per capita (current US$),11740.2724,7393.888654,10176.14388,11786.00915
"Middle East, North Africa, Afghanistan & Pakistan",MEA,GDP per capita (current US$),5371.489872,4707.819861,5575.272986,6383.398393
Mexico,MEX,GDP per capita (current US$),10369.55536,8841.270751,10314.05067,11402.14104
Marshall Islands,MHL,GDP per capita (current US$),5292.339855,5661.967873,6258.611937,6322.828555
Middle income,MIC,GDP per capita (current US$),5310.4535,5096.735904,5966.000158,6205.545998
North Macedonia,MKD,GDP per capita (current US$),6718.858266,6659.596511,7620.80297,7606.237525
Mali,MLI,GDP per capita (current US$),971.9493186,953.2429433,1027.273454,969.7222056
Malta,MLT,GDP per capita (current US$),32421.91798,31833.59638,38065.35435,36224.282
Myanmar,MMR,GDP per capita (current US$),1425.989542,1490.216835,1242.721344,1158.05005
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,GDP per capita (current US$),2674.370461,2381.425425,2719.531268,2975.955663
Montenegro,MNE,GDP per capita (current US$),8842.485287,7612.628459,9377.488797,9990.204446
Mongolia,MNG,GDP per capita (current US$),4347.546103,4001.251931,4517.61578,4993.514875
Northern Mariana Islands,MNP,GDP per capita (current US$),24496.66521,18220.83824,19455.50139,23785.75459
Mozambique,MOZ,GDP per capita (current US$),519.0925509,462.4338765,509.9078295,578.2516638
Mauritania,MRT,GDP per capita (current US$),1767.072711,1795.764596,1947.789184,1960.352401
Mauritius,MUS,GDP per capita (current US$),11403.25279,9011.042884,9068.973002,10223.78823
Malawi,MWI,GDP per capita (current US$),580.8898161,602.5074782,617.4475208,604.2697512
Malaysia,MYS,GDP per capita (current US$),10920.19176,9957.526267,10903.11164,11748.09193
North America,NAC,GDP per capita (current US$),63306.79998,62262.64241,69412.91375,75613.45071
Namibia,NAM,GDP per capita (current US$),4731.921032,3878.58983,4412.835569,4349.799085
New Caledonia,NCL,GDP per capita (current US$),33411.33588,33270.3306,35311.55436,33516.36309
Niger,NER,GDP per capita (current US$),561.6913043,579.5124958,608.7224396,609.7451477
Nigeria,NGA,GDP per capita (current US$),2265.155209,2019.657063,2017.274865,2139.374785
Nicaragua,NIC,GDP per capita (current US$),1958.620515,1938.447048,2138.385885,2322.89054
Netherlands,NLD,GDP per capita (current US$),53554.90075,53467.92774,60141.98809,59123.31856
Norway,NOR,GDP per capita (current US$),76430.58895,68340.0181,93072.89251,109269.5206
Nepal,NPL,GDP per capita (current US$),1203.142947,1154.215176,1252.750767,1385.910663
Nauru,NRU,GDP per capita (current US$),10776.82846,10695.69933,14989.66475,12896.4341
New Zealand,NZL,GDP per capita (current US$),42779.22982,41850.92033,49689.49813,48760.03819
OECD members,OED,GDP per capita (current US$),39718.01361,38704.97731,43149.60725,44046.42625
Oman,OMN,GDP per capita (current US$),19180.18642,16784.86306,19403.46002,23223.58294
Other small states,OSS,GDP per capita (current US$),12871.16576,11728.95245,13671.45655,14298.10282
Pakistan,PAK,GDP per capita (current US$),1390.41691,1278.397352,1455.319224,1538.322813
Panama,PAN,GDP per capita (current US$),16477.90663,13290.56083,15509.80691,17332.43607
Peru,PER,GDP per capita (current US$),7037.008037,6133.325524,6826.202556,7350.630343
Philippines,PHL,GDP per capita (current US$),3400.789498,3227.579102,3484.385939,3548.069306
Palau,PLW,GDP per capita (current US$),15841.19564,14556.58723,13257.20632,14392.20114
Papua New Guinea,PNG,GDP per capita (current US$),2575.772741,2429.611346,2607.578619,3102.289686
Poland,POL,GDP per capita (current US$),15874.52205,16150.9291,18635.50888,18891.21353
Pre-demographic dividend,PRE,GDP per capita (current US$),1476.621873,1320.709111,1412.709089,1577.716271
Puerto Rico (US),PRI,GDP per capita (current US$),31830.5285,31427.11308,32619.07046,35353.68216
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),,,,
Portugal,PRT,GDP per capita (current US$),23343.3629,22299.40441,24711.45101,24620.51956
Paraguay,PRY,GDP per capita (current US$),5821.181995,5365.472207,5976.931798,6205.625954
West Bank and Gaza,PSE,GDP per capita (current US$),3656.858271,3233.568638,3678.635657,3799.95527
Pacific island small states,PSS,GDP per capita (current US$),4170.32121,3666.089264,3649.533887,3888.62868
Post-demographic dividend,PST,GDP per capita (current US$),45864.97047,44887.38352,50022.03892,51102.35627
French Polynesia,PYF,GDP per capita (current US$),21582.5892,19966.48385,21982.90389,20738.65
Qatar,QAT,GDP per capita (current US$),66841.30135,51683.50544,71751.88313,88701.46335
Romania,ROU,GDP per capita (current US$),12992.03261,13082.30066,14986.78549,15557.88262
Russian Federation,RUS,GDP per capita (current US$),11447.70117,10108.32715,12425.0293,15619.61426
Rwanda,RWA,GDP per capita (current US$),810.0514121,778.7014988,829.5448456,975.469324
South Asia,SAS,GDP per capita (current US$),2067.059757,1957.203437,2273.720558,2385.083416
Saudi Arabia,SAU,GDP per capita (current US$),29566.79338,24338.83073,31920.76537,38510.22762
Sudan,SDN,GDP per capita (current US$),709.9752808,577.7952271,712.1220093,1046.240845
Senegal,SEN,GDP per capita (current US$),1431.181289,1461.087204,1598.10677,1574.028106
Singapore,SGP,GDP per capita (current US$),65952.0379,61410.07926,80056.12882,90299.06946
Solomon Islands,SLB,GDP per capita (current US$),2223.665026,2063.331015,1996.869768,2005.413993
Sierra Leone,SLE,GDP per capita (current US$),844.0495552,845.9829143,886.1929391,860.7745909
El Salvador,SLV,GDP per capita (current US$),4320.116715,3997.192796,4642.607431,5074.602102
San Marino,SMR,GDP per capita (current US$),46627.01224,44426.64634,54168.98283,54264.5705
"Somalia, Fed. Rep.",SOM,GDP per capita (current US$),539.8939316,518.1847785,549.1147427,573.1280925
Serbia,SRB,GDP per capita (current US$),7755.632986,8098.709557,9680.527981,10022.96885
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),1705.21463,1544.441121,1700.421999,1772.655354
South Sudan,SSD,GDP per capita (current US$),,,,
Sub-Saharan Africa,SSF,GDP per capita (current US$),1617.668881,1480.478642,1621.10097,1696.439993
Small states,SST,GDP per capita (current US$),11958.5107,10699.29117,12369.06398,13598.1108
Sao Tome and Principe,STP,GDP per capita (current US$),1935.293182,2167.220018,2362.588272,2389.737298
Suriname,SUR,GDP per capita (current US$),6629.667752,4755.392217,5029.848385,6084.438767
Slovak Republic,SVK,GDP per capita (current US$),19406.05897,19735.48583,22132.4483,21334.6011
Slovenia,SVN,GDP per capita (current US$),25814.16872,25392.06511,29187.36938,28373.83823
Sweden,SWE,GDP per capita (current US$),51773.04646,52653.75659,61174.96802,55296.93715
Eswatini,SWZ,GDP per capita (current US$),3913.12644,3454.784217,3966.298633,3889.65277
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),34861.46953,30150.89984,32548.43669,36476.63008
Seychelles,SYC,GDP per capita (current US$),19141.51187,14041.47541,14982.91115,16836.67219
Syrian Arab Republic,SYR,GDP per capita (current US$),1109.53926,572.3552898,663.6142457,1051.671496
Turks and Caicos Islands,TCA,GDP per capita (current US$),31780.52171,20690.91605,27329.28851,31280.5418
Chad,TCD,GDP per capita (current US$),893.3364416,866.9478149,946.3585002,966.0364683
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),8379.406869,8485.420258,10086.47852,10220.3605
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),9034.432091,8456.581747,9987.988644,11410.44153
Togo,TGO,GDP per capita (current US$),826.2606541,853.5782203,939.6133738,898.7581544
Thailand,THA,GDP per capita (current US$),7605.696578,6985.643939,7057.207548,6909.352818
Tajikistan,TJK,GDP per capita (current US$),871.0223729,834.3117155,896.7480534,1052.179495
Turkmenistan,TKM,GDP per capita (current US$),6648.034896,6592.60146,7051.202111,8156.35212
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),8654.947212,7240.296724,8382.42554,9482.776399
Timor-Leste,TLS,GDP per capita (current US$),1562.364581,1630.869385,2684.827024,2343.245234
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,GDP per capita (current US$),2667.558953,2375.473844,2712.781894,2970.114288
Tonga,TON,GDP per capita (current US$),4676.848025,4700.449405,4912.579663,4933.074669
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),2067.059757,1957.203437,2273.720558,2385.083416
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),1617.668881,1480.478642,1621.10097,1696.439993
Trinidad and Tobago,TTO,GDP per capita (current US$),17293.47301,15358.8613,17679.18126,20874.37683
Tunisia,TUN,GDP per capita (current US$),3528.872133,3548.653637,3906.939263,3708.848124
Turkiye,TUR,GDP per capita (current US$),9215.440499,8638.739038,9743.212778,10674.50416
Tuvalu,TUV,GDP per capita (current US$),5115.13076,4976.112541,5905.081981,5911.327271
Tanzania,TZA,GDP per capita (current US$),1063.32251,1117.415283,1159.856567,1207.853027
Uganda,UGA,GDP per capita (current US$),822.1711501,845.7664639,882.7917174,963.0673142
Ukraine,UKR,GDP per capita (current US$),3619.861572,3709.769287,4775.945801,4199.670898
Upper middle income,UMC,GDP per capita (current US$),8647.399639,8334.905824,9905.055835,10310.86688
Uruguay,URY,GDP per capita (current US$),18315.7317,15757.5356,17881.81872,20818.61461
United States,USA,GDP per capita (current US$),65227.95659,64401.50744,71307.40173,77860.91129
Uzbekistan,UZB,GDP per capita (current US$),2041.384807,1978.280519,2258.519641,2578.666894
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),8740.594252,8351.20324,8641.27904,9693.558678
"Venezuela, RB",VEN,GDP per capita (current US$),,,,
British Virgin Islands,VGB,GDP per capita (current US$),,,,
Virgin Islands (U.S.),VIR,GDP per capita (current US$),38633.52989,39787.37417,42571.07774,44320.90919
Viet Nam,VNM,GDP per capita (current US$),3440.900254,3534.039535,3704.193559,4147.697772
Vanuatu,VUT,GDP per capita (current US$),3207.446505,3042.987116,3211.719473,3292.341088
World,WLD,GDP per capita (current US$),11376.82334,10963.17564,12418.56592,12819.74484
Samoa,WSM,GDP per capita (current US$),4351.942349,4099.660091,3947.645179,3869.466395
Kosovo,XKX,GDP per capita (current US$),4415.997161,4310.890655,5270.429653,5290.947472
"Yemen, Rep.",YEM,GDP per capita (current US$),,,,
South Africa,ZAF,GDP per capita (current US$),6533.71121,5580.603831,6843.399419,6523.410978
Zambia,ZMB,GDP per capita (current US$),1258.986198,951.6443167,1127.160779,1447.123101
Zimbabwe,ZWE,GDP per capita (current US$),1683.913136,1730.45391,1724.387271,2040.546587
