DATE,ATM,Cash
2009-08-25,ATM2,83
2009-08-26,ATM1,96
2009-08-26,ATM2,31
2009-08-27,ATM1,13
2009-08-27,ATM2,4
2009-08-28,ATM1,121
2009-08-28,ATM2,96
2009-08-29,ATM1,133
2009-08-29,ATM2,50
2009-08-30,ATM1,118
2009-08-30,ATM2,52
2009-08-31,ATM1,91
2009-08-31,ATM2,56
2009-09-01,ATM1,120
2009-09-01,ATM2,104
2009-09-02,ATM1,88
2009-09-02,ATM2,27
2009-09-03,ATM1,19
2009-09-03,ATM2,13
2009-09-04,ATM1,150
2009-09-04,ATM2,107
2009-09-05,ATM1,144
2009-09-05,ATM2,125
2009-09-06,ATM1,121
2009-09-06,ATM2,103
2009-09-07,ATM1,105
2009-09-07,ATM2,42
2009-09-08,ATM1,133
2009-09-08,ATM2,90
2009-09-09,ATM1,109
2009-09-09,ATM2,29
2009-09-10,ATM1,18
2009-09-10,ATM2,8
2009-09-11,ATM1,1
2009-09-11,ATM2,2
2009-09-12,ATM1,105
2009-09-12,ATM2,84
2009-09-13,ATM1,112
2009-09-13,ATM2,62
2009-09-14,ATM1,82
2009-09-14,ATM2,77
2009-09-15,ATM1,111
2009-09-15,ATM2,78
2009-09-16,ATM1,79
2009-09-16,ATM2,25
2009-09-17,ATM1,13
2009-09-17,ATM2,8
2009-09-18,ATM1,112
2009-09-18,ATM2,113
2009-09-19,ATM1,99
2009-09-19,ATM2,71
2009-09-20,ATM1,140
2009-09-20,ATM2,94
2009-09-21,ATM1,110
2009-09-21,ATM2,59
2009-09-22,ATM1,180
2009-09-22,ATM2,89
2009-09-23,ATM1,73
2009-09-23,ATM2,18
2009-09-24,ATM1,7
2009-09-24,ATM2,6
2009-09-25,ATM1,106
2009-09-25,ATM2,115
2009-09-26,ATM1,103
2009-09-26,ATM2,81
2009-09-27,ATM1,93
2009-09-27,ATM2,61
2009-09-28,ATM1,96
2009-09-28,ATM2,71
2009-09-29,ATM1,117
2009-09-29,ATM2,69
2009-09-30,ATM1,80
2009-09-30,ATM2,36
2009-10-01,ATM1,14
2009-10-01,ATM2,14
2009-10-02,ATM1,120
2009-10-02,ATM2,104
2009-10-03,ATM1,91
2009-10-03,ATM2,73
2009-10-04,ATM1,96
2009-10-04,ATM2,86
2009-10-05,ATM1,74
2009-10-05,ATM2,85
2009-10-06,ATM1,108
2009-10-06,ATM2,126
2009-10-07,ATM1,73
2009-10-07,ATM2,31
2009-10-08,ATM1,13
2009-10-08,ATM2,9
2009-10-09,ATM1,93
2009-10-09,ATM2,114
2009-10-10,ATM1,94
2009-10-10,ATM2,78
2009-10-11,ATM1,76
2009-10-11,ATM2,45
2009-10-12,ATM1,111
2009-10-12,ATM2,60
2009-10-13,ATM1,88
2009-10-13,ATM2,91
2009-10-14,ATM1,76
2009-10-14,ATM2,22
2009-10-15,ATM1,9
2009-10-15,ATM2,7
2009-10-16,ATM1,87
2009-10-16,ATM2,75
2009-10-17,ATM1,105
2009-10-17,ATM2,66
2009-10-18,ATM1,78
2009-10-18,ATM2,64
2009-10-19,ATM1,67
2009-10-19,ATM2,51
2009-10-20,ATM1,90
2009-10-20,ATM2,94
2009-10-21,ATM1,68
2009-10-21,ATM2,23
2009-10-22,ATM1,9
2009-10-22,ATM2,4
2009-10-23,ATM1,78
2009-10-23,ATM2,127
2009-10-24,ATM1,74
2009-10-24,ATM2,61
2009-10-25,ATM1,74
2009-10-25,ATM2,0
2009-10-26,ATM1,60
2009-10-26,ATM2,95
2009-10-27,ATM1,75
2009-10-27,ATM2,79
2009-10-28,ATM1,61
2009-10-28,ATM2,38
2009-10-29,ATM1,9
2009-10-29,ATM2,8
2009-10-30,ATM1,90
2009-10-30,ATM2,119
2009-10-31,ATM1,86
2009-10-31,ATM2,57
2009-11-01,ATM1,86
2009-11-01,ATM2,58
2009-11-02,ATM1,79
2009-11-02,ATM2,80
2009-11-03,ATM1,90
2009-11-03,ATM2,82
2009-11-04,ATM1,80
2009-11-04,ATM2,49
2009-11-05,ATM1,21
2009-11-05,ATM2,16
2009-11-06,ATM1,93
2009-11-06,ATM2,116
2009-11-07,ATM1,104
2009-11-07,ATM2,61
2009-11-08,ATM1,109
2009-11-08,ATM2,59
2009-11-09,ATM1,88
2009-11-09,ATM2,80
2009-11-10,ATM1,96
2009-11-10,ATM2,86
2009-11-11,ATM1,70
2009-11-11,ATM2,23
2009-11-12,ATM1,15
2009-11-12,ATM2,7
2009-11-13,ATM1,73
2009-11-13,ATM2,91
2009-11-14,ATM1,94
2009-11-14,ATM2,57
2009-11-15,ATM1,108
2009-11-15,ATM2,58
2009-11-16,ATM1,73
2009-11-16,ATM2,61
2009-11-17,ATM1,87
2009-11-17,ATM2,77
2009-11-18,ATM1,75
2009-11-18,ATM2,20
2009-11-19,ATM1,10
2009-11-19,ATM2,5
2009-11-20,ATM1,92
2009-11-20,ATM2,132
2009-11-21,ATM1,87
2009-11-21,ATM2,49
2009-11-22,ATM1,74
2009-11-22,ATM2,57
2009-11-23,ATM1,73
2009-11-23,ATM2,68
2009-11-24,ATM1,93
2009-11-24,ATM2,80
2009-11-25,ATM1,66
2009-11-25,ATM2,31
2009-11-26,ATM1,18
2009-11-26,ATM2,3
2009-11-27,ATM1,99
2009-11-27,ATM2,85
2009-11-28,ATM1,94
2009-11-28,ATM2,53
2009-11-29,ATM1,136
2009-11-29,ATM2,46
2009-11-30,ATM1,6
2009-11-30,ATM2,2
2009-12-01,ATM1,140
2009-12-01,ATM2,113
2009-12-02,ATM1,73
2009-12-02,ATM2,22
2009-12-03,ATM1,9
2009-12-03,ATM2,5
2009-12-04,ATM1,140
2009-12-04,ATM2,112
2009-12-05,ATM1,103
2009-12-05,ATM2,59
2009-12-06,ATM1,110
2009-12-06,ATM2,72
2009-12-07,ATM1,90
2009-12-07,ATM2,77
2009-12-08,ATM1,135
2009-12-08,ATM2,85
2009-12-09,ATM1,67
2009-12-09,ATM2,27
2009-12-10,ATM1,12
2009-12-10,ATM2,1
2009-12-11,ATM1,109
2009-12-11,ATM2,91
2009-12-12,ATM1,84
2009-12-12,ATM2,36
2009-12-13,ATM1,92
2009-12-13,ATM2,46
2009-12-14,ATM1,84
2009-12-14,ATM2,100
2009-12-15,ATM1,118
2009-12-15,ATM2,73
2009-12-16,ATM1,68
2009-12-16,ATM2,22
2009-12-17,ATM1,14
2009-12-17,ATM2,9
2009-12-18,ATM1,90
2009-12-18,ATM2,117
2009-12-19,ATM1,92
2009-12-19,ATM2,44
2009-12-20,ATM1,93
2009-12-20,ATM2,44
2009-12-21,ATM1,85
2009-12-21,ATM2,78
2009-12-22,ATM1,93
2009-12-22,ATM2,89
2009-12-23,ATM1,70
2009-12-23,ATM2,33
2009-12-24,ATM1,13
2009-12-24,ATM2,5
2009-12-25,ATM1,90
2009-12-25,ATM2,102
2009-12-26,ATM1,91
2009-12-26,ATM2,68
2009-12-27,ATM1,102
2009-12-27,ATM2,64
2009-12-28,ATM1,97
2009-12-28,ATM2,81
2009-12-29,ATM1,42
2009-12-29,ATM2,9
2009-12-30,ATM1,2
2009-12-30,ATM2,2
2009-12-31,ATM1,14
2009-12-31,ATM2,2
2010-01-01,ATM1,132
2010-01-01,ATM2,117
2010-01-02,ATM1,108
2010-01-02,ATM2,56
2010-01-03,ATM1,120
2010-01-03,ATM2,55
2010-01-04,ATM1,120
2010-01-04,ATM2,112
2010-01-05,ATM1,90
2010-01-05,ATM2,100
2010-01-06,ATM1,48
2010-01-06,ATM2,17
2010-01-07,ATM1,15
2010-01-07,ATM2,7
2010-01-08,ATM1,86
2010-01-08,ATM2,49
2010-01-09,ATM1,109
2010-01-09,ATM2,96
2010-01-10,ATM1,115
2010-01-10,ATM2,47
2010-01-11,ATM1,123
2010-01-11,ATM2,107
2010-01-12,ATM1,123
2010-01-12,ATM2,93
2010-01-13,ATM1,60
2010-01-13,ATM2,27
2010-01-14,ATM1,22
2010-01-14,ATM2,9
2010-01-15,ATM1,81
2010-01-15,ATM2,78
2010-01-16,ATM1,98
2010-01-16,ATM2,47
2010-01-17,ATM1,94
2010-01-17,ATM2,31
2010-01-18,ATM1,76
2010-01-18,ATM2,91
2010-01-19,ATM1,96
2010-01-19,ATM2,77
2010-01-20,ATM1,72
2010-01-20,ATM2,22
2010-01-21,ATM1,12
2010-01-21,ATM2,1
2010-01-22,ATM1,91
2010-01-22,ATM2,125
2010-01-23,ATM1,74
2010-01-23,ATM2,53
2010-01-24,ATM1,104
2010-01-24,ATM2,37
2010-01-25,ATM1,74
2010-01-25,ATM2,69
2010-01-26,ATM1,91
2010-01-26,ATM2,69
2010-01-27,ATM1,66
2010-01-27,ATM2,16
2010-01-28,ATM1,28
2010-01-28,ATM2,2
2010-01-29,ATM1,152
2010-01-29,ATM2,95
2010-01-30,ATM1,97
2010-01-30,ATM2,45
2010-01-31,ATM1,100
2010-01-31,ATM2,61
2010-02-01,ATM1,85
2010-02-01,ATM2,71
2010-02-02,ATM1,123
2010-02-02,ATM2,91
2010-02-03,ATM1,46
2010-02-03,ATM2,28
2010-02-04,ATM1,38
2010-02-04,ATM2,9
2010-02-05,ATM1,138
2010-02-05,ATM2,97
2010-02-06,ATM1,74
2010-02-06,ATM2,60
2010-02-07,ATM1,85
2010-02-07,ATM2,27
2010-02-08,ATM1,78
2010-02-08,ATM2,74
2010-02-09,ATM1,123
2010-02-09,ATM2,45
2010-02-10,ATM1,50
2010-02-10,ATM2,26
2010-02-11,ATM1,28
2010-02-11,ATM2,2
2010-02-12,ATM1,105
2010-02-12,ATM2,73
2010-02-13,ATM1,109
2010-02-13,ATM2,48
2010-02-14,ATM1,26
2010-02-14,ATM2,9
2010-02-15,ATM1,54
2010-02-15,ATM2,25
2010-02-16,ATM1,105
2010-02-16,ATM2,58
2010-02-17,ATM1,179
2010-02-17,ATM2,110
2010-02-18,ATM1,125
2010-02-18,ATM2,94
2010-02-19,ATM1,84
2010-02-19,ATM2,25
2010-02-20,ATM1,99
2010-02-20,ATM2,101
2010-02-21,ATM1,110
2010-02-21,ATM2,77
2010-02-22,ATM1,80
2010-02-22,ATM2,6
2010-02-23,ATM1,1
2010-02-23,ATM2,3
2010-02-24,ATM1,111
2010-02-24,ATM2,99
2010-02-25,ATM1,115
2010-02-25,ATM2,86
2010-02-26,ATM1,108
2010-02-26,ATM2,20
2010-02-27,ATM1,100
2010-02-27,ATM2,72
2010-02-28,ATM1,152
2010-02-28,ATM2,81
2010-03-01,ATM1,90
2010-03-01,ATM2,16
2010-03-02,ATM1,4
2010-03-02,ATM2,2
2010-03-03,ATM1,128
2010-03-03,ATM2,110
2010-03-04,ATM1,87
2010-03-04,ATM2,75
2010-03-05,ATM1,84
2010-03-05,ATM2,35
2010-03-06,ATM1,69
2010-03-06,ATM2,102
2010-03-07,ATM1,112
2010-03-07,ATM2,100
2010-03-08,ATM1,62
2010-03-08,ATM2,9
2010-03-09,ATM1,4
2010-03-09,ATM2,2
2010-03-10,ATM1,94
2010-03-10,ATM2,100
2010-03-11,ATM1,102
2010-03-11,ATM2,85
2010-03-12,ATM1,98
2010-03-12,ATM2,33
2010-03-13,ATM1,88
2010-03-13,ATM2,24
2010-03-14,ATM1,123
2010-03-14,ATM2,111
2010-03-15,ATM1,55
2010-03-15,ATM2,5
2010-03-16,ATM1,4
2010-03-16,ATM2,1
2010-03-17,ATM1,92
2010-03-17,ATM2,106
2010-03-18,ATM1,88
2010-03-18,ATM2,102
2010-03-19,ATM1,92
2010-03-19,ATM2,25
2010-03-20,ATM1,92
2010-03-20,ATM2,64
2010-03-21,ATM1,117
2010-03-21,ATM2,78
2010-03-22,ATM1,73
2010-03-22,ATM2,5
2010-03-23,ATM1,3
2010-03-23,ATM2,1
2010-03-24,ATM1,85
2010-03-24,ATM2,83
2010-03-25,ATM1,88
2010-03-25,ATM2,78
2010-03-26,ATM1,76
2010-03-26,ATM2,66
2010-03-27,ATM1,93
2010-03-27,ATM2,15
2010-03-28,ATM1,116
2010-03-28,ATM2,64
2010-03-29,ATM1,68
2010-03-29,ATM2,3
2010-03-30,ATM1,19
2010-03-30,ATM2,0
2010-03-31,ATM1,127
2010-03-31,ATM2,102
2010-04-01,ATM1,93
2010-04-01,ATM2,99
2010-04-02,ATM1,97
2010-04-02,ATM2,41
2010-04-03,ATM1,102
2010-04-03,ATM2,79
2010-04-04,ATM1,109
2010-04-04,ATM2,71
2010-04-05,ATM1,68
2010-04-05,ATM2,9
2010-04-06,ATM1,4
2010-04-06,ATM2,2
2010-04-07,ATM1,105
2010-04-07,ATM2,103
2010-04-08,ATM1,79
2010-04-08,ATM2,67
2010-04-09,ATM1,90
2010-04-09,ATM2,85
2010-04-10,ATM1,87
2010-04-10,ATM2,78
2010-04-11,ATM1,92
2010-04-11,ATM2,67
2010-04-12,ATM1,63
2010-04-12,ATM2,12
2010-04-13,ATM1,3
2010-04-13,ATM2,1
2010-04-14,ATM1,103
2010-04-14,ATM2,97
2010-04-15,ATM1,80
2010-04-15,ATM2,106
2010-04-16,ATM1,80
2010-04-16,ATM2,74
2010-04-17,ATM1,84
2010-04-17,ATM2,86
2010-04-18,ATM1,81
2010-04-18,ATM2,55
2010-04-19,ATM1,88
2010-04-19,ATM2,13
2010-04-20,ATM1,3
2010-04-20,ATM2,1
2010-04-21,ATM1,100
2010-04-21,ATM2,100
2010-04-22,ATM1,69
2010-04-22,ATM2,103
2010-04-23,ATM1,85
2010-04-23,ATM2,44
2010-04-24,ATM1,85
2010-04-24,ATM2,61
2010-04-25,ATM1,109
2010-04-25,ATM2,89
2010-04-26,ATM1,74
2010-04-26,ATM2,11
2010-04-27,ATM1,4
2010-04-27,ATM2,2
2010-04-28,ATM1,96
2010-04-28,ATM2,107
2010-04-29,ATM1,82
2010-04-29,ATM2,89
2010-04-30,ATM1,85
2010-04-30,ATM2,90
2010-05-01,,
2010-05-02,,
2010-05-03,,
2010-05-04,,
2010-05-05,,
2010-05-06,,
2010-05-07,,
2010-05-08,,
2010-05-09,,
2010-05-10,,
2010-05-11,,
2010-05-12,,
2010-05-13,,
2010-05-14,,
2009-05-01,ATM3,0
2009-05-02,ATM3,0
2009-05-03,ATM3,0
2009-05-04,ATM3,0
2009-05-05,ATM3,0
2009-05-06,ATM3,0
2009-05-07,ATM3,0
2009-05-08,ATM3,0
2009-05-09,ATM3,0
2009-05-10,ATM3,0
2009-05-11,ATM3,0
2009-05-12,ATM3,0
2009-05-13,ATM3,0
2009-05-14,ATM3,0
2009-05-15,ATM3,0
2009-05-16,ATM3,0
2009-05-17,ATM3,0
2009-05-18,ATM3,0
2009-05-19,ATM3,0
2009-05-20,ATM3,0
2009-05-21,ATM3,0
2009-05-22,ATM3,0
2009-05-23,ATM3,0
2009-05-24,ATM3,0
2009-05-25,ATM3,0
2009-05-26,ATM3,0
2009-05-27,ATM3,0
2009-05-28,ATM3,0
2009-05-29,ATM3,0
2009-05-30,ATM3,0
2009-05-31,ATM3,0
2009-06-01,ATM3,0
2009-06-02,ATM3,0
2009-06-03,ATM3,0
2009-06-04,ATM3,0
2009-06-05,ATM3,0
2009-06-06,ATM3,0
2009-06-07,ATM3,0
2009-06-08,ATM3,0
2009-06-09,ATM3,0
2009-06-10,ATM3,0
2009-06-11,ATM3,0
2009-06-12,ATM3,0
2009-06-13,ATM3,0
2009-06-14,ATM3,0
2009-06-15,ATM3,0
2009-06-16,ATM3,0
2009-06-17,ATM3,0
2009-06-18,ATM3,0
2009-06-19,ATM3,0
2009-06-20,ATM3,0
2009-06-21,ATM3,0
2009-06-22,ATM3,0
2009-06-23,ATM3,0
2009-06-24,ATM3,0
2009-06-25,ATM3,0
2009-06-26,ATM3,0
2009-06-27,ATM3,0
2009-06-28,ATM3,0
2009-06-29,ATM3,0
2009-06-30,ATM3,0
2009-07-01,ATM3,0
2009-07-02,ATM3,0
2009-07-03,ATM3,0
2009-07-04,ATM3,0
2009-07-05,ATM3,0
2009-07-06,ATM3,0
2009-07-07,ATM3,0
2009-07-08,ATM3,0
2009-07-09,ATM3,0
2009-07-10,ATM3,0
2009-07-11,ATM3,0
2009-07-12,ATM3,0
2009-07-13,ATM3,0
2009-07-14,ATM3,0
2009-07-15,ATM3,0
2009-07-16,ATM3,0
2009-07-17,ATM3,0
2009-07-18,ATM3,0
2009-07-19,ATM3,0
2009-07-20,ATM3,0
2009-07-21,ATM3,0
2009-07-22,ATM3,0
2009-07-23,ATM3,0
2009-07-24,ATM3,0
2009-07-25,ATM3,0
2009-07-26,ATM3,0
2009-07-27,ATM3,0
2009-07-28,ATM3,0
2009-07-29,ATM3,0
2009-07-30,ATM3,0
2009-07-31,ATM3,0
2009-08-01,ATM3,0
2009-08-02,ATM3,0
2009-08-03,ATM3,0
2009-08-04,ATM3,0
2009-08-05,ATM3,0
2009-08-06,ATM3,0
2009-08-07,ATM3,0
2009-08-08,ATM3,0
2009-08-09,ATM3,0
2009-08-10,ATM3,0
2009-08-11,ATM3,0
2009-08-12,ATM3,0
2009-08-13,ATM3,0
2009-08-14,ATM3,0
2009-08-15,ATM3,0
2009-08-16,ATM3,0
2009-08-17,ATM3,0
2009-08-18,ATM3,0
2009-08-19,ATM3,0
2009-08-20,ATM3,0
2009-08-21,ATM3,0
2009-08-22,ATM3,0
2009-08-23,ATM3,0
2009-08-24,ATM3,0
2009-08-25,ATM3,0
2009-08-26,ATM3,0
2009-08-27,ATM3,0
2009-08-28,ATM3,0
2009-08-29,ATM3,0
2009-08-30,ATM3,0
2009-08-31,ATM3,0
2009-09-01,ATM3,0
2009-09-02,ATM3,0
2009-09-03,ATM3,0
2009-09-04,ATM3,0
2009-09-05,ATM3,0
2009-09-06,ATM3,0
2009-09-07,ATM3,0
2009-09-08,ATM3,0
2009-09-09,ATM3,0
2009-09-10,ATM3,0
2009-09-11,ATM3,0
2009-09-12,ATM3,0
2009-09-13,ATM3,0
2009-09-14,ATM3,0
2009-09-15,ATM3,0
2009-09-16,ATM3,0
2009-09-17,ATM3,0
2009-09-18,ATM3,0
2009-09-19,ATM3,0
2009-09-20,ATM3,0
2009-09-21,ATM3,0
2009-09-22,ATM3,0
2009-09-23,ATM3,0
2009-09-24,ATM3,0
2009-09-25,ATM3,0
2009-09-26,ATM3,0
2009-09-27,ATM3,0
2009-09-28,ATM3,0
2009-09-29,ATM3,0
2009-09-30,ATM3,0
2009-10-01,ATM3,0
2009-10-02,ATM3,0
2009-10-03,ATM3,0
2009-10-04,ATM3,0
2009-10-05,ATM3,0
2009-10-06,ATM3,0
2009-10-07,ATM3,0
2009-10-08,ATM3,0
2009-10-09,ATM3,0
2009-10-10,ATM3,0
2009-10-11,ATM3,0
2009-10-12,ATM3,0
2009-10-13,ATM3,0
2009-10-14,ATM3,0
2009-10-15,ATM3,0
2009-10-16,ATM3,0
2009-10-17,ATM3,0
2009-10-18,ATM3,0
2009-10-19,ATM3,0
2009-10-20,ATM3,0
2009-10-21,ATM3,0
2009-10-22,ATM3,0
2009-10-23,ATM3,0
2009-10-24,ATM3,0
2009-10-25,ATM3,0
2009-10-26,ATM3,0
2009-10-27,ATM3,0
2009-10-28,ATM3,0
2009-10-29,ATM3,0
2009-10-30,ATM3,0
2009-10-31,ATM3,0
2009-11-01,ATM3,0
2009-11-02,ATM3,0
2009-11-03,ATM3,0
2009-11-04,ATM3,0
2009-11-05,ATM3,0
2009-11-06,ATM3,0
2009-11-07,ATM3,0
2009-11-08,ATM3,0
2009-11-09,ATM3,0
2009-11-10,ATM3,0
2009-11-11,ATM3,0
2009-11-12,ATM3,0
2009-11-13,ATM3,0
2009-11-14,ATM3,0
2009-11-15,ATM3,0
2009-11-16,ATM3,0
2009-11-17,ATM3,0
2009-11-18,ATM3,0
2009-11-19,ATM3,0
2009-11-20,ATM3,0
2009-11-21,ATM3,0
2009-11-22,ATM3,0
2009-11-23,ATM3,0
2009-11-24,ATM3,0
2009-11-25,ATM3,0
2009-11-26,ATM3,0
2009-11-27,ATM3,0
2009-11-28,ATM3,0
2009-11-29,ATM3,0
2009-11-30,ATM3,0
2009-12-01,ATM3,0
2009-12-02,ATM3,0
2009-12-03,ATM3,0
2009-12-04,ATM3,0
2009-12-05,ATM3,0
2009-12-06,ATM3,0
2009-12-07,ATM3,0
2009-12-08,ATM3,0
2009-12-09,ATM3,0
2009-12-10,ATM3,0
2009-12-11,ATM3,0
2009-12-12,ATM3,0
2009-12-13,ATM3,0
2009-12-14,ATM3,0
2009-12-15,ATM3,0
2009-12-16,ATM3,0
2009-12-17,ATM3,0
2009-12-18,ATM3,0
2009-12-19,ATM3,0
2009-12-20,ATM3,0
2009-12-21,ATM3,0
2009-12-22,ATM3,0
2009-12-23,ATM3,0
2009-12-24,ATM3,0
2009-12-25,ATM3,0
2009-12-26,ATM3,0
2009-12-27,ATM3,0
2009-12-28,ATM3,0
2009-12-29,ATM3,0
2009-12-30,ATM3,0
2009-12-31,ATM3,0
2010-01-01,ATM3,0
2010-01-02,ATM3,0
2010-01-03,ATM3,0
2010-01-04,ATM3,0
2010-01-05,ATM3,0
2010-01-06,ATM3,0
2010-01-07,ATM3,0
2010-01-08,ATM3,0
2010-01-09,ATM3,0
2010-01-10,ATM3,0
2010-01-11,ATM3,0
2010-01-12,ATM3,0
2010-01-13,ATM3,0
2010-01-14,ATM3,0
